c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.38,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0208311,7.71523,0.0597769,0.269801,0.0764393,0.821585,0.735767,1.28051,0.151853
0.38,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0682407,4.54938,0.204537,0.214646,0.141969,0.793057,3.98313,2.18038,0.308277
0.38,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.164287,4.10718,0.49444,0.473413,0.338829,1.19727,16.1015,3.58993,0.474558
0.38,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.327199,3.8494,1.01547,0.337326,0.137635,0.296097,27.3598,4.22171,0.600075
0.38,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0183177,6.78432,0.0518554,0.255605,0.0771524,0.402959,0.583676,1.17236,0.163146
0.38,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0617483,4.11655,0.173744,0.225839,0.0808082,0.730551,3.10627,2.04464,0.333606
0.38,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.155937,3.89842,0.435157,0.387027,0.0842441,0.802054,11.2635,3.29004,0.475631
0.38,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.337345,3.96877,0.915412,0.301272,0.112694,0.287793,22.1757,4.10091,0.631836
0.45,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0143901,5.32968,0.0386142,0.254152,0.0844281,0.918796,0.367884,1.28051,0.179826
0.45,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0622696,4.15131,0.159203,0.202605,0.0852827,0.944552,1.99157,2.18038,0.365065
0.45,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.177271,4.43179,0.445316,0.429209,0.201595,0.839809,8.05074,3.58993,0.561977
0.45,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.409419,4.81669,1.01384,0.322356,0.0991334,0.427662,13.6799,4.22171,0.710615
0.45,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131677,4.87691,0.0339835,0.241316,0.0999071,0.500287,0.291838,1.17236,0.193199
0.45,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0618561,4.12374,0.143377,0.217688,0.111096,0.824916,1.55313,2.04464,0.39506
0.45,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.184099,4.60248,0.41669,0.367247,0.122363,0.672205,5.63174,3.29004,0.563247
0.45,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.433423,5.09909,0.961271,0.288925,0.108523,0.265186,11.0878,4.10091,0.748227
0.45,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0156091,5.78115,0.0427675,0.254744,0.0833913,0.916491,0.437812,1.28051,0.179826
0.45,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0618,4.12,0.165156,0.203495,0.0854773,0.942358,2.37013,2.18038,0.365065
0.45,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.169527,4.23817,0.443584,0.431117,0.205207,0.850094,9.58106,3.58993,0.561977
0.45,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.381683,4.49039,0.987551,0.3234,0.0981655,0.428153,16.2802,4.22171,0.710615
0.45,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0140896,5.21839,0.037408,0.241868,0.0987322,0.498273,0.347311,1.17236,0.193199
0.45,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0600645,4.0043,0.14592,0.218448,0.109674,0.822815,1.84836,2.04464,0.39506
0.45,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.173186,4.32964,0.407714,0.368981,0.118494,0.677063,6.70223,3.29004,0.563247
0.45,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.403222,4.74379,0.922257,0.288791,0.105683,0.270258,13.1954,4.10091,0.748227
0.45,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0170653,6.32047,0.0475829,0.255356,0.0824067,0.914255,0.520206,1.28051,0.179826
0.45,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0626159,4.17439,0.174429,0.204438,0.0858351,0.940374,2.81617,2.18038,0.365065
0.45,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.164658,4.11645,0.450215,0.432982,0.208834,0.859886,11.3841,3.58993,0.561977
0.45,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.358824,4.22146,0.977633,0.324625,0.0977949,0.42886,19.3441,4.22171,0.710615
0.45,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0152476,5.64726,0.0414519,0.242456,0.0975025,0.496089,0.412673,1.17236,0.193199
0.45,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0594329,3.9622,0.151666,0.219275,0.108325,0.820607,2.19621,2.04464,0.39506
0.45,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.164948,4.12369,0.40714,0.370503,0.115666,0.680432,7.96356,3.29004,0.563247
0.45,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.377846,4.44524,0.899979,0.289048,0.103312,0.27577,15.6787,4.10091,0.748227
0.45,20.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0187532,6.94563,0.0530954,0.255978,0.0814706,0.912143,0.617193,1.28051,0.179826
0.45,20.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0647198,4.31466,0.187052,0.205422,0.0863261,0.938611,3.34122,2.18038,0.365065
0.45,20.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.162648,4.06619,0.465433,0.434807,0.212409,0.869117,13.5066,3.58993,0.561977
0.45,20.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.340824,4.0097,0.98487,0.325983,0.0978899,0.429584,22.9506,4.22171,0.710615
0.45,20.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0166315,6.15983,0.0461344,0.243075,0.0962545,0.493801,0.489612,1.17236,0.193199
0.45,20.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0599789,3.99859,0.16064,0.220153,0.10706,0.818384,2.60567,2.04464,0.39506
0.45,20.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159409,3.98523,0.41532,0.37188,0.11363,0.68275,9.44828,3.29004,0.563247
0.45,20.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.357086,4.20101,0.895598,0.289688,0.101185,0.28134,18.6019,4.10091,0.748227
0.45,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0207483,7.68455,0.0595925,0.256646,0.0805397,0.909972,0.735767,1.28051,0.179826
0.45,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0682284,4.54856,0.203707,0.206498,0.0869675,0.936911,3.98313,2.18038,0.365065
0.45,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.163519,4.08796,0.490492,0.436666,0.216047,0.878191,16.1015,3.58993,0.561977
0.45,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.327376,3.85148,1.01111,0.327519,0.0983685,0.430121,27.3598,4.22171,0.710615
0.45,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0182984,6.77717,0.051696,0.243742,0.0949546,0.491341,0.583676,1.17236,0.193199
0.45,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0617865,4.1191,0.173351,0.221095,0.105929,0.816401,3.10627,2.04464,0.39506
0.45,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.156534,3.91335,0.433197,0.373196,0.112166,0.684122,11.2635,3.29004,0.563247
0.45,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.340266,4.00313,0.910918,0.290701,0.0991085,0.287114,22.1757,4.10091,0.748227
0.64,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0143553,5.31677,0.0384926,0.237062,0.136265,1.05483,0.367884,1.28051,0.255752
0.64,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0627127,4.18085,0.159063,0.191496,0.0923145,1.15307,1.99157,2.18038,0.519203
0.64,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.178982,4.47456,0.445125,0.381108,0.0983102,0.438276,8.05074,3.58993,0.799256
0.64,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.412756,4.85596,1.0149,0.309514,0.123748,0.636084,13.6799,4.22171,1.01065
0.64,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131741,4.8793,0.0338849,0.226358,0.147777,0.633639,0.291838,1.17236,0.274772
0.64,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0623332,4.15555,0.143533,0.211908,0.150296,0.930373,1.55313,2.04464,0.561864
0.64,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.185854,4.64635,0.417132,0.35105,0.176381,0.541366,5.63174,3.29004,0.801062
0.64,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.43839,5.15753,0.963157,0.276178,0.143495,0.375811,11.0878,4.10091,1.06414
0.64,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.015558,5.76221,0.0426236,0.237647,0.135008,1.0526,0.437812,1.28051,0.255752
0.64,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0621683,4.14456,0.164826,0.19234,0.0912278,1.15153,2.37013,2.18038,0.519203
0.64,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.17088,4.27201,0.442561,0.382597,0.0964813,0.444332,9.58106,3.58993,0.799256
0.64,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.384624,4.52498,0.98758,0.310462,0.121351,0.637099,16.2802,4.22171,1.01065
0.64,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0140859,5.21702,0.0372866,0.2269,0.146549,0.6317,0.347311,1.17236,0.274772
0.64,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.060462,4.0308,0.145937,0.212625,0.149071,0.928888,1.84836,2.04464,0.561864
0.64,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.1748,4.36999,0.407656,0.352624,0.172621,0.54462,6.70223,3.29004,0.801062
0.64,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.408138,4.80162,0.923065,0.275786,0.144058,0.387485,13.1954,4.10091,1.06414
0.64,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0169989,6.29588,0.0474153,0.23825,0.133762,1.05042,0.520206,1.28051,0.255752
0.64,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0629179,4.19453,0.173903,0.193237,0.0903087,1.15011,2.81617,2.18038,0.519203
0.64,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.165646,4.14115,0.448275,0.384099,0.0951417,0.450345,11.3841,3.58993,0.799256
0.64,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.361356,4.25124,0.976478,0.311612,0.119421,0.638187,19.3441,4.22171,1.01065
0.64,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0152364,5.64312,0.0413072,0.227478,0.145251,0.62959,0.412673,1.17236,0.274772
0.64,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0597601,3.984,0.15155,0.213415,0.14784,0.927176,2.19621,2.04464,0.561864
0.64,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.166449,4.16122,0.406521,0.353989,0.169962,0.546646,7.96356,3.29004,0.801062
0.64,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.382783,4.50333,0.899485,0.275797,0.144572,0.397897,15.6787,4.10091,1.06414
0.64,20.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0186717,6.91545,0.0529016,0.238868,0.132539,1.0483,0.617193,1.28051,0.255752
0.64,20.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0649649,4.33099,0.18632,0.19419,0.0895231,1.14885,3.34122,2.18038,0.519203
0.64,20.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.163254,4.08135,0.462472,0.385618,0.0942183,0.456199,13.5066,3.58993,0.799256
0.64,20.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.342897,4.03409,0.982302,0.312913,0.117884,0.639342,22.9506,4.22171,1.01065
0.64,20.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0166153,6.15381,0.0459653,0.228092,0.143883,0.62729,0.489612,1.17236,0.274772
0.64,20.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602405,4.01604,0.160394,0.214264,0.146659,0.925476,2.60567,2.04464,0.561864
0.64,20.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.160816,4.02039,0.414067,0.35522,0.16803,0.547875,9.44828,3.29004,0.801062
0.64,20.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.362107,4.26008,0.893468,0.276197,0.144711,0.406726,18.6019,4.10091,1.06414
0.64,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0206505,7.64833,0.0593704,0.239531,0.131287,1.04614,0.735767,1.28051,0.255752
0.64,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0684226,4.56151,0.202754,0.195229,0.0888288,1.14768,3.98313,2.18038,0.519203
0.64,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.163715,4.09287,0.486359,0.387196,0.0936313,0.462009,16.1015,3.58993,0.799256
0.64,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.328943,3.86991,1.00696,0.314377,0.116646,0.64051,27.3598,4.22171,1.01065
0.64,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0182795,6.77017,0.0515017,0.228754,0.142456,0.624891,0.583676,1.17236,0.274772
0.64,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0619842,4.13228,0.172975,0.215184,0.145555,0.92389,3.10627,2.04464,0.561864
0.64,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.157851,3.94627,0.431225,0.356382,0.166715,0.548291,11.2635,3.29004,0.801062
0.64,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.345421,4.06377,0.906649,0.276968,0.144308,0.414175,22.1757,4.10091,1.06414
0.9,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0143212,5.30414,0.0384309,0.22898,0.168037,1.12641,0.367884,1.28051,0.359651
0.9,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0631545,4.2103,0.159177,0.185835,0.129911,1.26413,1.99157,2.18038,0.730129
0.9,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.180787,4.51966,0.445805,0.356447,0.13942,0.293163,8.05074,3.58993,1.12395
0.9,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.4164,4.89882,1.01694,0.302928,0.158675,0.748247,13.6799,4.22171,1.42123
0.9,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131609,4.87442,0.0338371,0.219516,0.174082,0.70098,0.291838,1.17236,0.386398
0.9,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0629273,4.19515,0.143907,0.209486,0.168823,0.97652,1.55313,2.04464,0.79012
0.9,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.187886,4.69716,0.418306,0.343974,0.203247,0.488702,5.63174,3.29004,1.12649
0.9,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.443303,5.21533,0.966111,0.269951,0.173704,0.456813,11.0878,4.10091,1.49645
0.9,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0155102,5.7445,0.0425491,0.229567,0.16677,1.12418,0.437812,1.28051,0.359651
0.9,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0625016,4.16678,0.164799,0.186655,0.128869,1.26292,2.37013,2.18038,0.730129
0.9,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.172362,4.30906,0.442723,0.357686,0.136437,0.29614,9.58106,3.58993,1.12395
0.9,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.387757,4.56185,0.988879,0.303809,0.156443,0.749788,16.2802,4.22171,1.42123
0.9,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0140579,5.20662,0.0372232,0.220062,0.172881,0.699093,0.347311,1.17236,0.386398
0.9,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0609135,4.0609,0.146168,0.210182,0.167706,0.97528,1.84836,2.04464,0.79012
0.9,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.176502,4.41255,0.408369,0.345496,0.199666,0.491312,6.70223,3.29004,1.12649
0.9,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.412554,4.85358,0.925157,0.269452,0.175743,0.470714,13.1954,4.10091,1.49645
0.9,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0169395,6.2739,0.0473285,0.230165,0.16554,1.12206,0.520206,1.28051,0.359651
0.9,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0631569,4.21046,0.173739,0.187533,0.127931,1.26186,2.81617,2.18038,0.730129
0.9,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.166835,4.17087,0.447893,0.358974,0.133695,0.299176,11.3841,3.58993,1.12395
0.9,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.364012,4.2825,0.977039,0.304919,0.154512,0.751198,19.3441,4.22171,1.42123
